	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
170	Écocentre de Clermont		119 ch. Snigole	Clermont	Quebec	G4A 1B1	 None	 None
171	Écocentre de La Malbaie		1200 boul. Kane	La Malbaie	Quebec	G5A 1W8	47.739192	-70.275859
172	Écocentre de Sainte-Agathe-des-Monts		1710 rue Principale Est	Sainte-Agathe-des-Monts	Quebec	J8C 1M2	47.6515732	-70.1609239
173	Écocentre de matériaux secs de Tremblant		60 ch. Bréboeuf	Mont-Tremblant	Quebec	J8E 3A9	46.0411358	-74.2493954
174	Écocentre RIDL		1064 rue industrielle	Mont-Laurier	Quebec	J9L 3V6	46.1140516	-74.6068668
175	Écocentre régional de Portneuf-sur-Mer		rte 138 (24 km à l?est de la rivière Portneuf)	Portneuf-sur-Mer	Quebec	G0T 1P0	46.5407241	-75.4816164
176	Centre de valorisation des matières résiduelles		15 boul. Industriel	La Sarre	Quebec	J9Z 2X2	48.6462312	-69.1073469
177	RIGMRBM (Régie intermunicipale de gestion des matières résiduelles de Brome-Missisquoi)		2500 rang Saint-Joseph	Brigham	Quebec	J2K 3G6	48.7813623	-79.1704186
178	Écocentre Blanc-Sablon	Commune Lourdes-de-Blanc-Sablon	1149 boul. Dr. Camille Marcoux	Blanc-Sablon	Quebec	G0G 1W0	45.1896517	-72.7998186
179	Ressource de Réinsertion le Phare		99 boul. du Portage des Mousses	Port-Cartier	Quebec	G5B 1C9	51.415391	-57.1903767
180	Écocentre Saint-Just-de-Bretenières		 rang Sainte-Anne	Saint-Just-de-Bretenières	Quebec	G0H 3H0	50.0339792	-66.8480156
181	Écocentre Saint-François-de-la-Rivière-du-Sud		35 ch. Saint-François Est	Saint-François-de-la-Rivière-du-Sud	Quebec	G0R 3A0	46.5700889	-70.0887994
182	Garage municipal Saint-Pierre-de-la-Rivière-du-Sud		450 rue Principale	Saint-Pierre-de-la-Rivière-du-Sud	Quebec	G0R 4B0	46.9020105	-70.6927882
183	Écocentre Notre-Dame-du-Rosaire		28 rue Saint-Thomas	Notre-Dame-du-Rosaire	Quebec	G0R 2H0	46.9186197	-70.6321837
184	Bureau municipal Sainte-Euphémie-sur-Rivière-du-Sud		220 rue Principale Est	Sainte-Euphémie-sur-Rivière-du-Sud	Quebec	G0R 2Z0	46.8259367	-70.389551
185	Écocentre Sainte-Apolline-de-Patton		499 rue Principale	Sainte-Apolline-de-Patton	Quebec	G0R 2P0	46.7760009	-70.4369529
186	Écocentre Cap-Saint-Ignace		850 du Souvenir	Cap-Saint-Ignace	Quebec	G0R 1H0	 None	 None
187	Écocentre Sainte-Lucie-de-Beauregard		Garage municipal rue de l'Église	Sainte-Lucie-de-Beauregard	Quebec	G0R 3L0	47.0315956	-70.4412894
188	Écocentre Saint-Fabien-de-Panet		73 rte 283	Saint-Fabien-de-Panet	Quebec	G0R 2J0	46.7401448	-70.0242305
